record_date,transportation,electricity,food,total_emission,day_of_week,month,day_of_month,is_weekend,emission_lag_1,emission_lag_7,emission_lag_14,emission_rolling_7,emission_rolling_30,time_idx,dataset
2021-02-14,2807.03,3574.78,4810.15,11191.96,6,2,14,1,11289.46,11209.97,11300.55,11253.547142857142,11249.204666666667,14,TRAIN
2021-02-15,2809.7,3587.11,4822.64,11219.45,0,2,15,0,11191.96,11299.89,11269.35,11250.974285714285,11246.720999999998,15,TRAIN
2021-02-16,2810.64,3589.72,4861.78,11262.14,1,2,16,0,11219.45,11274.47,11249.33,11239.482857142855,11246.463333333331,16,TRAIN
2021-02-17,2832.36,3585.76,4865.19,11283.31,2,2,17,0,11262.14,11255.93,11215.06,11237.721428571429,11249.22,17,TRAIN
2021-02-18,2810.49,3593.66,4825.39,11229.54,3,2,18,0,11283.31,11203.22,11240.89,11241.632857142857,11249.669333333333,18,TRAIN
2021-02-19,2825.42,3553.89,4872.47,11251.78,4,2,19,0,11229.54,11241.89,11201.62,11245.392857142857,11250.330666666667,19,TRAIN
2021-02-20,2830.46,3548.82,4841.12,11220.4,5,2,20,1,11251.78,11289.46,11298.96,11246.805714285714,11250.687,20,TRAIN
2021-02-21,2792.27,3552.19,4879.69,11224.15,6,2,21,1,11220.4,11191.96,11209.97,11236.94,11247.912666666667,21,TRAIN
2021-02-22,2804.44,3561.25,4915.31,11281.0,0,2,22,0,11224.15,11219.45,11299.89,11241.53857142857,11247.669,22,TRAIN
2021-02-23,2819.89,3551.17,4872.69,11243.75,1,2,23,0,11281.0,11262.14,11274.47,11250.33142857143,11249.451,23,TRAIN
2021-02-24,2799.74,3595.76,4875.97,11271.47,2,2,24,0,11243.75,11283.31,11255.93,11247.704285714284,11249.026666666667,24,TRAIN
2021-02-25,2812.67,3617.81,4863.89,11294.37,3,2,25,0,11271.47,11229.54,11203.22,11246.012857142856,11250.175333333334,25,TRAIN
2021-02-26,2827.03,3572.91,4843.68,11243.62,4,2,26,0,11294.37,11251.78,11241.89,11255.274285714286,11252.310333333333,26,TRAIN
2021-02-27,2813.77,3568.45,4862.3,11244.52,5,2,27,1,11243.62,11220.4,11289.46,11254.108571428571,11254.112666666666,27,TRAIN
2021-02-28,2804.3,3580.24,4884.4,11268.94,6,2,28,1,11244.52,11224.15,11191.96,11257.554285714286,11251.423999999999,28,TRAIN
2021-03-01,2802.71,4119.42,4888.47,11810.6,0,3,1,0,11268.94,11281.0,11219.45,11263.952857142858,11252.528666666667,29,TRAIN
2021-03-02,2822.97,4119.34,4857.18,11799.49,1,3,2,0,11810.6,11243.75,11262.14,11339.61,11269.719666666668,30,TRAIN
2021-03-03,2813.0,4089.39,4823.38,11725.77,2,3,3,0,11799.49,11271.47,11283.31,11419.001428571428,11286.350999999999,31,TRAIN
2021-03-04,2811.72,4080.76,4863.29,11755.77,3,3,4,0,11725.77,11294.37,11229.54,11483.901428571431,11301.565,32,TRAIN
2021-03-05,2817.26,4131.74,4860.65,11809.65,4,3,5,0,11755.77,11243.62,11251.78,11549.815714285713,11318.446333333331,33,TRAIN
2021-03-06,2816.3,4110.63,4837.88,11764.81,5,3,6,1,11809.65,11244.52,11220.4,11630.677142857143,11338.266,34,TRAIN
2021-03-07,2831.24,4103.61,4863.18,11798.03,6,3,7,1,11764.81,11268.94,11224.15,11705.004285714285,11355.730000000001,35,TRAIN
2021-03-08,2822.52,4135.06,4852.88,11810.46,0,3,8,0,11798.03,11810.6,11281.0,11780.58857142857,11375.610333333334,36,TRAIN
2021-03-09,2817.17,4142.99,4873.69,11833.85,1,3,9,0,11810.46,11799.49,11243.75,11780.568571428574,11392.660333333333,37,TRAIN
2021-03-10,2809.92,4130.57,4849.84,11790.33,2,3,10,0,11833.85,11725.77,11271.47,11785.477142857142,11413.456333333334,38,TRAIN
2021-03-11,2813.81,4117.84,4847.57,11779.22,3,3,11,0,11790.33,11755.77,11294.37,11794.699999999999,11429.804333333333,39,TRAIN
2021-03-12,2795.21,4092.5,4845.61,11733.32,4,3,12,0,11779.22,11809.65,11243.62,11798.050000000001,11446.629333333334,40,TRAIN
2021-03-13,2808.89,4099.71,4858.55,11767.15,5,3,13,1,11733.32,11764.81,11244.52,11787.145714285713,11462.542333333335,41,TRAIN
2021-03-14,2782.33,4129.21,4905.5,11817.04,6,3,14,1,11767.15,11798.03,11268.94,11787.48,11481.34,42,TRAIN
2021-03-15,2812.52,4117.68,4849.86,11780.06,0,3,15,0,11817.04,11810.46,11810.6,11790.195714285714,11500.511666666667,43,TRAIN
2021-03-16,2812.79,4143.52,4859.32,11815.63,1,3,16,0,11780.06,11833.85,11799.49,11785.852857142858,11516.865,44,TRAIN
2021-03-17,2806.28,4096.64,4899.45,11802.37,2,3,17,0,11815.63,11790.33,11725.77,11783.25,11537.654000000002,45,TRAIN
2021-03-18,2799.29,4132.65,4867.73,11799.67,3,3,18,0,11802.37,11779.22,11755.77,11784.970000000001,11557.084666666668,46,TRAIN
2021-03-19,2840.13,4119.48,4875.69,11835.3,4,3,19,0,11799.67,11733.32,11809.65,11787.891428571429,11575.002333333334,47,TRAIN
2021-03-20,2816.67,4111.56,4877.6,11805.83,5,3,20,1,11835.3,11767.15,11764.81,11802.460000000001,11593.402,48,TRAIN
2021-03-21,2813.16,4093.15,4906.81,11813.12,6,3,21,1,11805.83,11817.04,11798.03,11807.985714285713,11612.611666666668,49,TRAIN
2021-03-22,2783.19,4108.29,4855.06,11746.54,0,3,22,0,11813.12,11780.06,11810.46,11807.425714285715,11631.323,50,TRAIN
2021-03-23,2827.61,4142.82,4836.53,11806.96,1,3,23,0,11746.54,11815.63,11833.85,11802.637142857144,11648.860999999999,51,TRAIN
2021-03-24,2799.31,4119.54,4871.03,11789.88,2,3,24,0,11806.96,11802.37,11790.33,11801.398571428572,11668.288,52,TRAIN
2021-03-25,2825.12,4089.6,4854.31,11769.03,3,3,25,0,11789.88,11799.67,11779.22,11799.614285714286,11685.250666666667,53,TRAIN
2021-03-26,2823.84,4120.42,4870.9,11815.16,4,3,26,0,11769.03,11835.3,11733.32,11795.23714285714,11702.76,54,TRAIN
2021-03-27,2801.57,4123.83,4874.8,11800.2,5,3,27,1,11815.16,11805.83,11767.15,11792.36,11720.883,55,TRAIN
2021-03-28,2793.38,4163.07,4882.31,11838.76,6,3,28,1,11800.2,11813.12,11817.04,11791.555714285714,11737.744,56,TRAIN
2021-03-29,2804.04,4136.87,4877.02,11817.93,0,3,29,0,11838.76,11746.54,11780.06,11795.218571428572,11757.581999999999,57,TRAIN
2021-03-30,2799.79,4130.96,4891.29,11822.04,1,3,30,0,11817.93,11806.96,11815.63,11805.417142857143,11776.695666666668,58,TRAIN
2021-03-31,2803.42,4135.3,4828.59,11767.31,2,3,31,0,11822.04,11789.88,11802.37,11807.57142857143,11795.132333333335,59,TRAIN
2021-04-01,2789.35,4110.57,4838.89,11738.81,3,4,1,0,11767.31,11769.03,11799.67,11804.347142857145,11793.689333333334,60,TRAIN
2021-04-02,2806.29,4123.98,4869.27,11799.54,4,4,2,0,11738.81,11815.16,11835.3,11800.03,11791.666666666666,61,TRAIN
2021-04-03,2839.57,4087.02,4937.57,11864.16,5,4,3,1,11799.54,11800.2,11805.83,11797.798571428571,11794.125666666665,62,TRAIN
2021-04-04,2815.13,4141.37,4842.03,11798.53,6,4,4,1,11864.16,11838.76,11813.12,11806.935714285715,11797.738666666668,63,TRAIN
2021-04-05,2813.56,4094.87,4888.88,11797.31,0,4,5,0,11798.53,11817.93,11746.54,11801.18857142857,11797.367999999999,64,TRAIN
2021-04-06,2807.91,4135.34,4838.1,11781.35,1,4,6,0,11797.31,11822.04,11806.96,11798.242857142859,11798.451333333333,65,TRAIN
2021-04-07,2832.93,4112.66,4863.34,11808.93,2,4,7,0,11781.35,11767.31,11789.88,11792.429999999998,11797.895333333332,66,TRAIN
2021-04-08,2832.22,4145.17,4871.93,11849.32,3,4,8,0,11808.93,11738.81,11769.03,11798.375714285716,11797.844333333334,67,TRAIN
2021-04-09,2820.51,4120.39,4860.2,11801.1,4,4,9,0,11849.32,11799.54,11815.16,11814.162857142857,11798.359999999999,68,TRAIN
2021-04-10,2813.18,4128.18,4846.79,11788.15,5,4,10,1,11801.1,11864.16,11800.2,11814.385714285716,11798.719000000001,69,TRAIN
2021-04-11,2797.34,4113.65,4856.58,11767.57,6,4,11,1,11788.15,11798.53,11838.76,11803.527142857143,11799.016666666666,70,TRAIN
2021-04-12,2805.2,4106.74,4827.92,11739.86,0,4,12,0,11767.57,11797.31,11817.93,11799.104285714287,11800.158333333333,71,TRAIN
2021-04-13,2788.07,4119.5,4851.74,11759.31,1,4,13,0,11739.86,11781.35,11822.04,11790.897142857144,11799.248666666668,72,TRAIN
2021-04-14,2807.63,4087.69,4842.07,11737.39,2,4,14,0,11759.31,11808.93,11767.31,11787.748571428572,11797.324333333332,73,TRAIN
2021-04-15,2816.75,4101.49,4883.73,11801.97,3,4,15,0,11737.39,11849.32,11738.81,11777.528571428571,11795.902,74,TRAIN
2021-04-16,2808.97,4131.26,4836.21,11776.44,4,4,16,0,11801.97,11801.1,11799.54,11770.764285714287,11795.446666666665,75,TRAIN
2021-04-17,2813.71,4108.92,4879.52,11802.15,5,4,17,1,11776.44,11788.15,11864.16,11767.24142857143,11794.582333333332,76,TRAIN
2021-04-18,2818.91,4101.4,4851.19,11771.5,6,4,18,1,11802.15,11767.57,11798.53,11769.24142857143,11794.665,77,TRAIN
2021-04-19,2834.16,4130.04,4905.57,11869.77,0,4,19,0,11771.5,11739.86,11797.31,11769.802857142857,11792.538333333334,78,TRAIN
2021-04-20,2828.43,4137.91,4821.6,11787.94,1,4,20,0,11869.77,11759.31,11781.35,11788.361428571428,11794.669666666665,79,TRAIN
2021-04-21,2802.26,4143.63,4858.67,11804.56,2,4,21,0,11787.94,11737.39,11808.93,11792.451428571429,11793.830333333333,80,TRAIN
2021-04-22,2814.5,4161.51,4847.66,11823.67,3,4,22,0,11804.56,11801.97,11849.32,11802.047142857144,11795.764333333333,81,TRAIN
2021-04-23,2813.3,4104.46,4818.53,11736.29,4,4,23,0,11823.67,11776.44,11801.1,11805.147142857142,11796.321333333333,82,TRAIN
2021-04-24,2800.6,4114.69,4879.05,11794.34,5,4,24,1,11736.29,11802.15,11788.15,11799.411428571428,11794.535,83,TRAIN
2021-04-25,2784.53,4129.74,4888.75,11803.02,6,4,25,1,11794.34,11771.5,11767.57,11798.295714285716,11795.378666666667,84,TRAIN
2021-04-26,2805.63,4150.92,4875.23,11831.78,0,4,26,0,11803.02,11869.77,11739.86,11802.798571428571,11794.973999999998,85,TRAIN
2021-04-27,2832.38,4119.2,4888.01,11839.59,1,4,27,0,11831.78,11787.94,11759.31,11797.371428571427,11796.026666666667,86,TRAIN
2021-04-28,2814.38,4120.57,4868.47,11803.42,2,4,28,0,11839.59,11804.56,11737.39,11804.750000000002,11796.054333333333,87,TRAIN
2021-04-29,2817.38,4099.5,4867.85,11784.73,3,4,29,0,11803.42,11823.67,11801.97,11804.587142857143,11795.570666666667,88,TRAIN
2021-04-30,2846.77,4078.13,4852.9,11777.8,4,4,30,0,11784.73,11736.29,11776.44,11799.024285714286,11794.327,89,TRAIN
2021-05-01,2792.28,4100.07,4879.71,11772.06,5,5,1,1,11777.8,11794.34,11802.15,11804.954285714286,11794.676666666666,90,TRAIN
2021-05-02,2830.13,4111.06,4867.63,11808.82,6,5,2,1,11772.06,11803.02,11771.5,11801.771428571428,11795.785,91,TRAIN
2021-05-03,2797.56,4136.65,4868.04,11802.25,0,5,3,0,11808.82,11831.78,11869.77,11802.6,11796.094333333334,92,TRAIN
2021-05-04,2814.22,4117.03,4850.88,11782.13,1,5,4,0,11802.25,11839.59,11787.94,11798.381428571429,11794.030666666666,93,TRAIN
2021-05-05,2830.84,4129.63,4870.19,11830.66,2,5,5,0,11782.13,11803.42,11804.56,11790.172857142856,11793.484,94,TRAIN
2021-05-06,2812.33,4119.41,4861.63,11793.37,3,5,6,0,11830.66,11784.73,11823.67,11794.064285714285,11794.595666666666,95,TRAIN
2021-05-07,2830.77,4125.04,4860.88,11816.69,4,5,7,0,11793.37,11777.8,11736.29,11795.298571428571,11794.996333333334,96,TRAIN
2021-05-08,2792.4,4165.3,4868.34,11826.04,5,5,8,1,11816.69,11772.06,11794.34,11800.854285714286,11795.255000000001,97,TRAIN
2021-05-09,2818.1,4128.58,4844.98,11791.66,6,5,9,1,11826.04,11808.82,11803.02,11808.565714285713,11794.479,98,TRAIN
2021-05-10,2785.03,4106.46,4867.84,11759.33,0,5,10,0,11791.66,11802.25,11831.78,11806.114285714286,11794.164333333332,99,TRAIN
2021-05-11,2812.37,4130.48,4791.39,11734.24,1,5,11,0,11759.33,11782.13,11839.59,11799.982857142857,11793.203666666666,100,TRAIN
2021-05-12,2827.49,4147.31,4892.04,11866.84,2,5,12,0,11734.24,11830.66,11803.42,11793.141428571429,11792.092666666666,101,TRAIN
2021-05-13,2808.17,4100.49,4868.72,11777.38,3,5,13,0,11866.84,11793.37,11784.73,11798.31,11796.325333333334,102,TRAIN
2021-05-14,2797.21,4131.58,4869.11,11797.9,4,5,14,0,11777.38,11816.69,11777.8,11796.025714285715,11796.927666666666,103,TRAIN
2021-05-15,2819.33,4107.28,4781.74,11708.35,5,5,15,1,11797.9,11826.04,11772.06,11793.341428571428,11798.944666666666,104,TRAIN
2021-05-16,2795.35,4111.57,4876.56,11783.48,6,5,16,1,11708.35,11791.66,11808.82,11776.528571428573,11795.824,105,TRAIN
2021-05-17,2790.05,4123.31,4902.57,11815.93,0,5,17,0,11783.48,11759.33,11802.25,11775.36,11796.058666666668,106,TRAIN
2021-05-18,2797.65,4137.4,4876.02,11811.07,1,5,18,0,11815.93,11734.24,11782.13,11783.445714285714,11796.518,107,TRAIN
2021-05-19,2798.27,4095.99,4875.94,11770.2,2,5,19,0,11811.07,11866.84,11830.66,11794.421428571428,11797.837,108,TRAIN
2021-05-20,2814.55,4116.96,4847.66,11779.17,3,5,20,0,11770.2,11777.38,11793.37,11780.615714285714,11794.518000000002,109,TRAIN
2021-05-21,2825.58,4116.71,4826.04,11768.33,4,5,21,0,11779.17,11797.9,11816.69,11780.871428571427,11794.225666666667,110,TRAIN
2021-05-22,2790.15,4122.34,4911.53,11824.02,5,5,22,1,11768.33,11708.35,11826.04,11776.647142857142,11793.018000000002,111,TRAIN
2021-05-23,2800.38,4122.78,4871.24,11794.4,6,5,23,1,11824.02,11783.48,11791.66,11793.171428571428,11793.029666666665,112,TRAIN
2021-05-24,2827.9,4125.42,4846.51,11799.83,0,5,24,0,11794.4,11815.93,11759.33,11794.731428571427,11794.966666666667,113,TRAIN
2021-05-25,2827.87,4094.09,4873.01,11794.97,1,5,25,0,11799.83,11811.07,11734.24,11792.43142857143,11795.149666666666,114,TRAIN
2021-05-26,2797.78,4098.27,4832.58,11728.63,2,5,26,0,11794.97,11770.2,11866.84,11790.131428571429,11794.881333333333,115,TRAIN
2021-05-27,2826.46,4104.85,4837.89,11769.2,3,5,27,0,11728.63,11779.17,11777.38,11784.192857142858,11791.443,116,TRAIN
2021-05-28,2806.32,4086.7,4884.56,11777.58,4,5,28,0,11769.2,11768.33,11797.9,11782.768571428573,11789.096666666668,117,TRAIN
2021-05-29,2818.78,4087.67,4852.15,11758.6,5,5,29,1,11777.58,11824.02,11708.35,11784.09,11788.235333333334,118,TRAIN
2021-05-30,2794.32,4109.26,4824.36,11727.94,6,5,30,1,11758.6,11794.4,11783.48,11774.744285714285,11787.364333333333,119,TRAIN
2021-05-31,2812.3,4122.78,4859.16,11794.24,0,5,31,0,11727.94,11799.83,11815.93,11765.25,11785.702333333333,120,TRAIN
2021-06-01,2796.67,3595.31,4849.68,11241.66,1,6,1,0,11794.24,11794.97,11811.07,11764.451428571429,11786.441666666668,121,TRAIN
2021-06-02,2786.74,3569.76,4892.5,11249.0,2,6,2,0,11241.66,11728.63,11770.2,11685.407142857144,11767.536333333333,122,TRAIN
2021-06-03,2793.38,3573.9,4827.7,11194.98,3,6,3,0,11249.0,11769.2,11779.17,11616.888571428572,11749.094666666668,123,TRAIN
2021-06-04,2770.34,3598.11,4863.83,11232.28,4,6,4,0,11194.98,11777.58,11768.33,11534.857142857143,11729.523,124,TRAIN
2021-06-05,2825.16,3541.5,4839.17,11205.83,5,6,5,1,11232.28,11758.6,11824.02,11456.957142857142,11709.577000000001,125,TRAIN
2021-06-06,2788.31,3608.58,4885.34,11282.23,6,6,6,1,11205.83,11727.94,11794.4,11377.990000000002,11689.992333333332,126,TRAIN
2021-06-07,2832.95,3575.54,4873.11,11281.6,0,6,7,0,11282.23,11794.24,11799.83,11314.317142857142,11672.177,127,TRAIN
2021-06-08,2789.55,3558.75,4854.03,11202.33,1,6,8,0,11281.6,11241.66,11794.97,11241.082857142857,11654.029,128,TRAIN
2021-06-09,2760.36,3580.82,4918.9,11260.08,2,6,9,0,11202.33,11249.0,11728.63,11235.464285714286,11634.384666666669,129,TRAIN
2021-06-10,2828.1,3587.16,4910.87,11326.13,3,6,10,0,11260.08,11194.98,11769.2,11237.047142857142,11617.742999999999,130,TRAIN
2021-06-11,2829.29,3605.02,4842.44,11276.75,4,6,11,0,11326.13,11232.28,11777.58,11255.782857142856,11604.139333333333,131,TRAIN
2021-06-12,2794.05,3575.19,4811.77,11181.01,5,6,12,1,11276.75,11205.83,11758.6,11262.135714285714,11584.469666666666,132,TRAIN
2021-06-13,2809.49,3594.64,4853.35,11257.48,6,6,13,1,11181.01,11282.23,11727.94,11258.59,11564.590666666665,133,TRAIN
2021-06-14,2805.0,3561.38,4822.79,11189.17,0,6,14,0,11257.48,11281.6,11794.24,11255.054285714286,11546.576666666666,134,TRAIN
2021-06-15,2812.74,3582.88,4817.67,11213.29,1,6,15,0,11189.17,11202.33,11241.66,11241.85,11529.270666666667,135,TRAIN
2021-06-16,2796.87,3586.18,4875.49,11258.54,2,6,16,0,11213.29,11260.08,11249.0,11243.415714285713,11510.264333333333,136,TRAIN
2021-06-17,2833.95,3573.08,4854.43,11261.46,3,6,17,0,11258.54,11326.13,11194.98,11243.195714285714,11491.684666666666,137,TRAIN
2021-06-18,2795.41,3570.84,4845.71,11211.96,4,6,18,0,11261.46,11276.75,11232.28,11233.957142857142,11473.364333333333,138,TRAIN
2021-06-19,2791.37,3571.45,4866.91,11229.73,5,6,19,1,11211.96,11181.01,11205.83,11224.701428571429,11454.756333333333,139,TRAIN
2021-06-20,2792.97,3569.91,4820.95,11183.83,6,6,20,1,11229.73,11257.48,11282.23,11231.661428571428,11436.441666666668,140,TRAIN
2021-06-21,2797.33,3573.91,4840.17,11211.41,0,6,21,0,11183.83,11189.17,11281.6,11221.14,11416.958333333334,141,TRAIN
2021-06-22,2783.66,3558.51,4866.79,11208.96,1,6,22,0,11211.41,11213.29,11202.33,11224.317142857142,11396.538,142,TRAIN
2021-06-23,2794.88,3551.85,4836.76,11183.49,2,6,23,0,11208.96,11258.54,11260.08,11223.698571428571,11377.023333333334,143,TRAIN
2021-06-24,2817.04,3547.38,4832.28,11196.7,3,6,24,0,11183.49,11261.46,11326.13,11212.977142857142,11356.478666666666,144,TRAIN
2021-06-25,2822.41,3577.82,4855.22,11255.45,4,6,25,0,11196.7,11211.96,11276.75,11203.725714285714,11336.536333333333,145,TRAIN
2021-06-26,2793.24,3545.3,4832.79,11171.33,5,6,26,1,11255.45,11229.73,11181.01,11209.93857142857,11320.763666666668,146,TRAIN
2021-06-27,2805.9,3587.49,4844.96,11238.35,6,6,27,1,11171.33,11183.83,11257.48,11201.595714285713,11300.834666666666,147,TRAIN
2021-06-28,2801.65,3559.08,4887.73,11248.46,0,6,28,0,11238.35,11211.41,11189.17,11209.384285714286,11282.860333333334,148,TRAIN
2021-06-29,2794.49,3611.77,4846.88,11253.14,1,6,29,0,11248.46,11208.96,11213.29,11214.677142857141,11265.855666666666,149,TRAIN
2021-06-30,2812.98,3574.73,4810.6,11198.31,2,6,30,0,11253.14,11183.49,11258.54,11220.988571428572,11250.029,150,TRAIN
2021-07-01,2796.68,3577.24,4775.73,11149.65,3,7,1,0,11198.31,11196.7,11261.46,11223.105714285713,11230.164666666667,151,TRAIN
2021-07-02,2816.23,3591.97,4844.15,11252.35,4,7,2,0,11149.65,11255.45,11211.96,11216.384285714286,11227.097666666667,152,TRAIN
2021-07-03,2827.29,3572.68,4810.8,11210.77,5,7,3,1,11252.35,11171.33,11229.73,11215.941428571428,11227.209333333332,153,TRAIN
2021-07-04,2788.43,3555.12,4887.79,11231.34,6,7,4,1,11210.77,11238.35,11183.83,11221.575714285715,11227.735666666667,154,TRAIN
2021-07-05,2822.9,3577.12,4857.87,11257.89,0,7,5,0,11231.34,11248.46,11211.41,11220.574285714285,11227.704333333333,155,TRAIN
2021-07-06,2813.83,3594.04,4857.88,11265.75,1,7,6,0,11257.89,11253.14,11208.96,11221.92142857143,11229.439666666667,156,TRAIN
2021-07-07,2793.83,3580.16,4883.72,11257.71,2,7,7,0,11265.75,11198.31,11183.49,11223.722857142857,11228.890333333333,157,TRAIN
2021-07-08,2784.48,3548.77,4873.3,11206.55,3,7,8,0,11257.71,11149.65,11196.7,11232.208571428573,11228.094000000001,158,TRAIN
2021-07-09,2814.92,3593.19,4870.6,11278.71,4,7,9,0,11206.55,11252.35,11255.45,11240.337142857143,11228.234666666665,159,TRAIN
2021-07-10,2788.77,3588.73,4845.23,11222.73,5,7,10,1,11278.71,11210.77,11171.33,11244.102857142858,11228.855666666668,160,TRAIN
2021-07-11,2789.55,3564.69,4870.74,11224.98,6,7,11,1,11222.73,11231.34,11238.35,11245.811428571427,11225.409000000001,161,TRAIN
2021-07-12,2808.26,3592.07,4881.49,11281.82,0,7,12,0,11224.98,11257.89,11248.46,11244.902857142859,11223.683333333332,162,TRAIN
2021-07-13,2828.13,3572.04,4808.38,11208.55,1,7,13,0,11281.82,11265.75,11253.14,11248.321428571426,11227.043666666666,163,TRAIN
2021-07-14,2804.42,3578.53,4887.66,11270.61,2,7,14,0,11208.55,11257.71,11198.31,11240.15,11225.412666666667,164,TRAIN
2021-07-15,2781.58,3577.7,4914.8,11274.08,3,7,15,0,11270.61,11206.55,11149.65,11241.992857142857,11228.127333333332,165,TRAIN
2021-07-16,2828.99,3603.38,4846.57,11278.94,4,7,16,0,11274.08,11278.71,11252.35,11251.64,11230.153666666667,166,TRAIN
2021-07-17,2774.26,3545.63,4856.04,11175.93,5,7,17,1,11278.94,11222.73,11210.77,11251.672857142858,11230.833666666667,167,TRAIN
2021-07-18,2808.26,3590.53,4841.01,11239.8,6,7,18,1,11175.93,11224.98,11231.34,11244.987142857144,11227.982666666667,168,TRAIN
2021-07-19,2785.82,3558.81,4820.5,11165.13,0,7,19,0,11239.8,11281.82,11257.89,11247.104285714286,11228.910666666665,169,TRAIN
2021-07-20,2821.41,3610.21,4848.34,11279.96,1,7,20,0,11165.13,11208.55,11265.75,11230.434285714287,11226.757333333333,170,TRAIN
2021-07-21,2817.28,3591.82,4861.21,11270.31,2,7,21,0,11279.96,11270.61,11257.71,11240.635714285714,11229.961666666666,171,TRAIN
2021-07-22,2787.19,3592.44,4851.87,11231.5,3,7,22,0,11270.31,11274.08,11206.55,11240.592857142856,11231.925,172,TRAIN
2021-07-23,2789.15,3596.47,4796.78,11182.4,4,7,23,0,11231.5,11278.94,11278.71,11234.509999999998,11232.676333333333,173,TRAIN
2021-07-24,2839.14,3594.91,4871.63,11305.68,5,7,24,1,11182.4,11175.93,11222.73,11220.718571428572,11232.640000000001,174,TRAIN
2021-07-25,2798.52,3581.99,4853.65,11234.16,6,7,25,1,11305.68,11239.8,11224.98,11239.254285714285,11236.272666666666,175,TRAIN
2021-07-26,2797.32,3571.72,4877.19,11246.23,0,7,26,0,11234.16,11165.13,11281.82,11238.448571428571,11235.562999999998,176,TRAIN
2021-07-27,2799.28,3543.66,4873.25,11216.19,1,7,27,0,11246.23,11279.96,11208.55,11250.034285714284,11238.059666666668,177,TRAIN
2021-07-28,2776.05,3581.25,4850.71,11208.01,2,7,28,0,11216.19,11270.31,11270.61,11240.924285714285,11237.321,178,TRAIN
2021-07-29,2821.51,3586.53,4849.97,11258.01,3,7,29,0,11208.01,11231.5,11274.08,11232.024285714286,11235.972666666667,179,TRAIN
2021-07-30,2811.08,3560.86,4869.56,11241.5,4,7,30,0,11258.01,11182.4,11278.94,11235.81142857143,11236.135,180,TRAIN
2021-07-31,2795.65,3545.31,4849.18,11190.14,5,7,31,1,11241.5,11305.68,11175.93,11244.254285714285,11237.574666666666,181,TRAIN
2021-08-01,2828.76,3566.38,4850.17,11245.31,6,8,1,1,11190.14,11234.16,11239.8,11227.748571428572,11238.924333333332,182,TRAIN
2021-08-02,2784.56,3555.43,4927.82,11267.81,0,8,2,0,11245.31,11246.23,11165.13,11229.341428571428,11238.689666666667,183,TRAIN
2021-08-03,2796.57,3562.23,4843.46,11202.26,1,8,3,0,11267.81,11216.19,11279.96,11232.424285714285,11240.590999999999,184,TRAIN
2021-08-04,2788.41,3554.4,4888.58,11231.39,2,8,4,0,11202.26,11208.01,11270.31,11230.434285714286,11239.621666666668,185,TRAIN
2021-08-05,2804.12,3625.35,4785.83,11215.3,3,8,5,0,11231.39,11258.01,11231.5,11233.774285714286,11238.738333333335,186,TRAIN
2021-08-06,2795.97,3605.32,4877.29,11278.58,4,8,6,0,11215.3,11241.5,11182.4,11227.672857142856,11237.056666666667,187,TRAIN
