record_date,transportation,electricity,food,total_emission
2021-03-04,2811.72,4080.76,4863.29,11755.77
2021-03-05,2817.26,4131.74,4860.65,11809.65
2021-03-06,2816.30,4110.63,4837.88,11764.81
2021-03-07,2831.24,4103.61,4863.18,11798.03
2021-03-08,2822.52,4135.06,4852.88,11810.46
2021-03-09,2817.17,4142.99,4873.69,11833.85
2021-03-10,2809.92,4130.57,4849.84,11790.33
2021-03-11,2813.81,4117.84,4847.57,11779.22
2021-03-12,2795.21,4092.50,4845.61,11733.32
2021-03-13,2808.89,4099.71,4858.55,11767.15
2021-03-14,2782.33,4129.21,4905.50,11817.04
2021-03-15,2812.52,4117.68,4849.86,11780.06
2021-03-16,2812.79,4143.52,4859.32,11815.63
2021-03-17,2806.28,4096.64,4899.45,11802.37
2021-03-18,2799.29,4132.65,4867.73,11799.67
2021-03-19,2840.13,4119.48,4875.69,11835.30
2021-03-20,2816.67,4111.56,4877.60,11805.83
2021-03-21,2813.16,4093.15,4906.81,11813.12
2021-03-22,2783.19,4108.29,4855.06,11746.54
2021-03-23,2827.61,4142.82,4836.53,11806.96
2021-03-24,2799.31,4119.54,4871.03,11789.88
2021-03-25,2825.12,4089.60,4854.31,11769.03
2021-03-26,2823.84,4120.42,4870.90,11815.16
2021-03-27,2801.57,4123.83,4874.80,11800.20
2021-03-28,2793.38,4163.07,4882.31,11838.76
2021-03-29,2804.04,4136.87,4877.02,11817.93
2021-03-30,2799.79,4130.96,4891.29,11822.04
2021-03-31,2803.42,4135.30,4828.59,11767.31
2021-04-01,2789.35,4110.57,4838.89,11738.81
2021-04-02,2806.29,4123.98,4869.27,11799.54
2021-04-03,2839.57,4087.02,4937.57,11864.16
2021-04-04,2815.13,4141.37,4842.03,11798.53
2021-04-05,2813.56,4094.87,4888.88,11797.31
2021-04-06,2807.91,4135.34,4838.10,11781.35
2021-04-07,2832.93,4112.66,4863.34,11808.93
2021-04-08,2832.22,4145.17,4871.93,11849.32
2021-04-09,2820.51,4120.39,4860.20,11801.10
2021-04-10,2813.18,4128.18,4846.79,11788.15
2021-04-11,2797.34,4113.65,4856.58,11767.57
2021-04-12,2805.20,4106.74,4827.92,11739.86
2021-04-13,2788.07,4119.50,4851.74,11759.31
2021-04-14,2807.63,4087.69,4842.07,11737.39
2021-04-15,2816.75,4101.49,4883.73,11801.97
2021-04-16,2808.97,4131.26,4836.21,11776.44
2021-04-17,2813.71,4108.92,4879.52,11802.15
2021-04-18,2818.91,4101.40,4851.19,11771.50
2021-04-19,2834.16,4130.04,4905.57,11869.77
2021-04-20,2828.43,4137.91,4821.60,11787.94
2021-04-21,2802.26,4143.63,4858.67,11804.56
2021-04-22,2814.50,4161.51,4847.66,11823.67
2021-04-23,2813.30,4104.46,4818.53,11736.29
2021-04-24,2800.60,4114.69,4879.05,11794.34
2021-04-25,2784.53,4129.74,4888.75,11803.02
2021-04-26,2805.63,4150.92,4875.23,11831.78
2021-04-27,2832.38,4119.20,4888.01,11839.59
2021-04-28,2814.38,4120.57,4868.47,11803.42
2021-04-29,2817.38,4099.50,4867.85,11784.73
2021-04-30,2846.77,4078.13,4852.90,11777.80
2021-05-01,2792.28,4100.07,4879.71,11772.06
2021-05-02,2830.13,4111.06,4867.63,11808.82
2021-05-03,2797.56,4136.65,4868.04,11802.25
2021-05-04,2814.22,4117.03,4850.88,11782.13
2021-05-05,2830.84,4129.63,4870.19,11830.66
2021-05-06,2812.33,4119.41,4861.63,11793.37
2021-05-07,2830.77,4125.04,4860.88,11816.69
2021-05-08,2792.40,4165.30,4868.34,11826.04
2021-05-09,2818.10,4128.58,4844.98,11791.66
2021-05-10,2785.03,4106.46,4867.84,11759.33
2021-05-11,2812.37,4130.48,4791.39,11734.24
2021-05-12,2827.49,4147.31,4892.04,11866.84
2021-05-13,2808.17,4100.49,4868.72,11777.38
2021-05-14,2797.21,4131.58,4869.11,11797.90
2021-05-15,2819.33,4107.28,4781.74,11708.35
2021-05-16,2795.35,4111.57,4876.56,11783.48
2021-05-17,2790.05,4123.31,4902.57,11815.93
2021-05-18,2797.65,4137.40,4876.02,11811.07
2021-05-19,2798.27,4095.99,4875.94,11770.20
2021-05-20,2814.55,4116.96,4847.66,11779.17
2021-05-21,2825.58,4116.71,4826.04,11768.33
2021-05-22,2790.15,4122.34,4911.53,11824.02
2021-05-23,2800.38,4122.78,4871.24,11794.40
2021-05-24,2827.90,4125.42,4846.51,11799.83
2021-05-25,2827.87,4094.09,4873.01,11794.97
2021-05-26,2797.78,4098.27,4832.58,11728.63
2021-05-27,2826.46,4104.85,4837.89,11769.20
2021-05-28,2806.32,4086.70,4884.56,11777.58
2021-05-29,2818.78,4087.67,4852.15,11758.60
2021-05-30,2794.32,4109.26,4824.36,11727.94
2021-05-31,2812.30,4122.78,4859.16,11794.24
2021-06-01,2796.67,3595.31,4849.68,11241.66
2021-06-02,2786.74,3569.76,4892.50,11249.00
2021-06-03,2793.38,3573.90,4827.70,11194.98
2021-06-04,2770.34,3598.11,4863.83,11232.28
2021-06-05,2825.16,3541.50,4839.17,11205.83
2021-06-06,2788.31,3608.58,4885.34,11282.23
2021-06-07,2832.95,3575.54,4873.11,11281.60
2021-06-08,2789.55,3558.75,4854.03,11202.33
2021-06-09,2760.36,3580.82,4918.90,11260.08
2021-06-10,2828.10,3587.16,4910.87,11326.13
2021-06-11,2829.29,3605.02,4842.44,11276.75
2021-06-12,2794.05,3575.19,4811.77,11181.01
2021-06-13,2809.49,3594.64,4853.35,11257.48
2021-06-14,2805.00,3561.38,4822.79,11189.17
2021-06-15,2812.74,3582.88,4817.67,11213.29
2021-06-16,2796.87,3586.18,4875.49,11258.54
2021-06-17,2833.95,3573.08,4854.43,11261.46
2021-06-18,2795.41,3570.84,4845.71,11211.96
2021-06-19,2791.37,3571.45,4866.91,11229.73
2021-06-20,2792.97,3569.91,4820.95,11183.83
2021-06-21,2797.33,3573.91,4840.17,11211.41
2021-06-22,2783.66,3558.51,4866.79,11208.96
2021-06-23,2794.88,3551.85,4836.76,11183.49
2021-06-24,2817.04,3547.38,4832.28,11196.70
2021-06-25,2822.41,3577.82,4855.22,11255.45
2021-06-26,2793.24,3545.30,4832.79,11171.33
2021-06-27,2805.90,3587.49,4844.96,11238.35
2021-06-28,2801.65,3559.08,4887.73,11248.46
2021-06-29,2794.49,3611.77,4846.88,11253.14
2021-06-30,2812.98,3574.73,4810.60,11198.31
2021-07-01,2796.68,3577.24,4775.73,11149.65
2021-07-02,2816.23,3591.97,4844.15,11252.35
2021-07-03,2827.29,3572.68,4810.80,11210.77
2021-07-04,2788.43,3555.12,4887.79,11231.34
2021-07-05,2822.90,3577.12,4857.87,11257.89
2021-07-06,2813.83,3594.04,4857.88,11265.75
2021-07-07,2793.83,3580.16,4883.72,11257.71
2021-07-08,2784.48,3548.77,4873.30,11206.55
2021-07-09,2814.92,3593.19,4870.60,11278.71
2021-07-10,2788.77,3588.73,4845.23,11222.73
2021-07-11,2789.55,3564.69,4870.74,11224.98
2021-07-12,2808.26,3592.07,4881.49,11281.82
2021-07-13,2828.13,3572.04,4808.38,11208.55
2021-07-14,2804.42,3578.53,4887.66,11270.61
2021-07-15,2781.58,3577.70,4914.80,11274.08
2021-07-16,2828.99,3603.38,4846.57,11278.94
2021-07-17,2774.26,3545.63,4856.04,11175.93
2021-07-18,2808.26,3590.53,4841.01,11239.80
2021-07-19,2785.82,3558.81,4820.50,11165.13
2021-07-20,2821.41,3610.21,4848.34,11279.96
2021-07-21,2817.28,3591.82,4861.21,11270.31
2021-07-22,2787.19,3592.44,4851.87,11231.50
2021-07-23,2789.15,3596.47,4796.78,11182.40
2021-07-24,2839.14,3594.91,4871.63,11305.68
2021-07-25,2798.52,3581.99,4853.65,11234.16
2021-07-26,2797.32,3571.72,4877.19,11246.23
2021-07-27,2799.28,3543.66,4873.25,11216.19
2021-07-28,2776.05,3581.25,4850.71,11208.01
2021-07-29,2821.51,3586.53,4849.97,11258.01
2021-07-30,2811.08,3560.86,4869.56,11241.50
2021-07-31,2795.65,3545.31,4849.18,11190.14
2021-08-01,2828.76,3566.38,4850.17,11245.31
2021-08-02,2784.56,3555.43,4927.82,11267.81
2021-08-03,2796.57,3562.23,4843.46,11202.26
2021-08-04,2788.41,3554.40,4888.58,11231.39
2021-08-05,2804.12,3625.35,4785.83,11215.30
2021-08-06,2795.97,3605.32,4877.29,11278.58
2021-08-07,2825.31,3573.86,4879.96,11279.13
2021-08-08,2802.46,3587.61,4894.52,11284.59
2021-08-09,2797.22,3604.83,4896.14,11298.19
2021-08-10,2789.06,3555.45,4841.50,11186.01
2021-08-11,2817.10,3588.67,4854.22,11259.99
2021-08-12,2805.89,3589.15,4817.84,11212.88
2021-08-13,2786.42,3557.26,4925.03,11268.71
2021-08-14,2821.78,3592.69,4841.65,11256.12
2021-08-15,2809.68,3577.75,4784.87,11172.30
2021-08-16,2805.47,3558.53,4845.25,11209.25
2021-08-17,2799.78,3592.75,4858.22,11250.75
2021-08-18,2803.35,3575.74,4892.95,11272.04
2021-08-19,2796.98,3575.79,4865.74,11238.51
2021-08-20,2811.40,3591.25,4914.83,11317.48
2021-08-21,2788.96,3600.57,4832.47,11222.00
2021-08-22,2807.83,3594.70,4886.74,11289.27
2021-08-23,2828.28,3632.15,4853.97,11314.40
2021-08-24,2795.74,3582.90,4852.05,11230.69
2021-08-25,2809.21,3606.52,4850.62,11266.35
2021-08-26,2815.30,3580.90,4923.16,11319.36
2021-08-27,2785.70,3590.67,4939.83,11316.20
2021-08-28,2817.04,3585.06,4846.64,11248.74
2021-08-29,2783.21,3596.51,4843.43,11223.15
2021-08-30,2805.61,3587.57,4855.27,11248.45
2021-08-31,2814.69,3575.60,4906.66,11296.95
2021-09-01,2772.47,3572.51,4865.32,11210.30
2021-09-02,2803.13,3544.85,4845.91,11193.89
2021-09-03,2808.34,3602.88,4830.48,11241.70
2021-09-04,2826.15,3582.02,4876.65,11284.82
2021-09-05,2780.88,3589.55,4901.21,11271.64
2021-09-06,2805.07,3556.36,4839.41,11200.84
2021-09-07,2824.09,3587.29,4922.47,11333.85
2021-09-08,2784.41,3563.79,4863.15,11211.35
2021-09-09,2825.75,3532.89,4844.52,11203.16
2021-09-10,2819.79,3579.56,4864.21,11263.56
2021-09-11,2827.30,3568.90,4914.75,11310.95
2021-09-12,2812.29,3545.92,4851.87,11210.08
2021-09-13,2779.87,3568.31,4910.81,11258.99
2021-09-14,2805.65,3581.59,4833.30,11220.54
2021-09-15,2811.52,3582.00,4827.49,11221.01
2021-09-16,2828.81,3568.93,4881.97,11279.71
2021-09-17,2802.55,3581.34,4869.21,11253.10
2021-09-18,2828.48,3590.05,4920.29,11338.82
2021-09-19,2793.94,3586.13,4919.17,11299.24
2021-09-20,2794.94,3587.30,4856.42,11238.66
2021-09-21,2803.60,3535.17,4878.04,11216.81
2021-09-22,2789.53,3579.64,4877.53,11246.70
2021-09-23,2821.83,3556.62,4812.86,11191.31
2021-09-24,2798.42,3548.06,4849.12,11195.60
2021-09-25,2811.61,3547.27,4874.87,11233.75
2021-09-26,2814.11,3587.62,4874.76,11276.49
2021-09-27,2773.98,3570.31,4870.12,11214.41
2021-09-28,2823.02,3589.98,4862.70,11275.70
2021-09-29,2797.71,3581.35,4838.77,11217.83
2021-09-30,2821.88,3600.74,4853.59,11276.21
2021-10-01,2839.45,3578.66,4872.61,11290.72
2021-10-02,2836.12,3566.63,4851.63,11254.38
2021-10-03,2810.87,3571.58,4810.87,11193.32
2021-10-04,2825.31,3580.45,4892.44,11298.20
2021-10-05,2809.90,3558.82,4885.08,11253.80
2021-10-06,2834.18,3592.01,4840.22,11266.41
2021-10-07,2827.27,3582.37,4878.50,11288.14
2021-10-08,2820.16,3590.47,4882.12,11292.75
2021-10-09,2818.65,3597.97,4874.60,11291.22
2021-10-10,2776.31,3578.26,4895.10,11249.67
2021-10-11,2817.30,3562.03,4882.14,11261.47
2021-10-12,2812.62,3561.06,4859.06,11232.74
2021-10-13,2776.95,3583.33,4821.60,11181.88
2021-10-14,2819.36,3615.03,4883.46,11317.85
2021-10-15,2802.31,3541.16,4876.74,11220.21
2021-10-16,2782.23,3569.66,4808.40,11160.29
2021-10-17,2833.17,3581.17,4881.29,11295.63
2021-10-18,2809.04,3576.91,4835.18,11221.13
2021-10-19,2833.22,3597.64,4866.56,11297.42
2021-10-20,2773.30,3584.71,4871.93,11229.94
2021-10-21,2816.15,3574.49,4816.36,11207.00
2021-10-22,2825.48,3553.45,4881.69,11260.62
2021-10-23,2803.88,3583.75,4911.74,11299.37
2021-10-24,2812.51,3538.30,4836.21,11187.02
2021-10-25,2806.49,3572.05,4883.83,11262.37
2021-10-26,2814.72,3562.50,4827.22,11204.44
2021-10-27,2783.35,3568.19,4894.37,11245.91
2021-10-28,2823.67,3595.24,4774.94,11193.85
2021-10-29,2810.76,3567.21,4910.24,11288.21
2021-10-30,2797.16,3563.48,4859.71,11220.35
2021-10-31,2778.89,3598.18,4910.28,11287.35
2021-11-01,2798.82,3561.94,4890.54,11251.30
2021-11-02,2808.73,3598.72,4866.81,11274.26
2021-11-03,2788.95,3548.69,4865.17,11202.81
2021-11-04,2817.29,3578.37,4845.12,11240.78
2021-11-05,2823.60,3579.64,4846.34,11249.58
2021-11-06,2798.29,3645.41,4906.88,11350.58
2021-11-07,2792.61,3619.73,4905.29,11317.63
2021-11-08,2796.93,3559.07,4811.21,11167.21
2021-11-09,2816.02,3581.32,4872.11,11269.45
2021-11-10,2837.99,3587.10,4872.12,11297.21
2021-11-11,2808.80,3576.46,4862.55,11247.81
2021-11-12,2803.11,3573.17,4851.42,11227.70
2021-11-13,2807.50,3561.58,4932.35,11301.43
2021-11-14,2775.77,3554.82,4871.82,11202.41
2021-11-15,2823.21,3577.77,4898.67,11299.65
2021-11-16,2803.63,3596.48,4854.98,11255.09
2021-11-17,2770.75,3576.17,4911.33,11258.25
2021-11-18,2827.59,3572.85,4901.47,11301.91
2021-11-19,2801.09,3533.61,4867.67,11202.37
2021-11-20,2809.52,3543.64,4873.62,11226.78
2021-11-21,2832.68,3575.47,4856.45,11264.60
2021-11-22,2822.93,3572.65,4858.71,11254.29
2021-11-23,2816.56,3569.48,4868.30,11254.34
2021-11-24,2804.24,3568.09,4879.62,11251.95
2021-11-25,2814.03,3531.05,4860.38,11205.46
2021-11-26,2825.74,3573.48,4838.56,11237.78
2021-11-27,2804.91,3572.51,4856.16,11233.58
2021-11-28,2776.68,3545.02,4849.70,11171.40
2021-11-29,2811.20,3582.78,4864.52,11258.50
2021-11-30,2779.37,3598.64,4909.66,11287.67
2021-12-01,2815.15,3583.93,4839.72,11238.80
2021-12-02,2806.61,3582.43,4846.53,11235.57
2021-12-03,2834.60,3570.73,4871.07,11276.40
2021-12-04,2821.06,3591.04,4869.37,11281.47
2021-12-05,2821.96,3609.24,4882.66,11313.86
2021-12-06,2803.79,3581.70,4887.47,11272.96
2021-12-07,2808.60,3590.82,4807.68,11207.10
2021-12-08,2796.71,3569.47,4877.44,11243.62
2021-12-09,2792.06,3570.77,4826.41,11189.24
2021-12-10,2819.55,3573.84,4881.90,11275.29
2021-12-11,2787.51,3570.50,4825.71,11183.72
2021-12-12,2812.25,3579.94,4881.59,11273.78
2021-12-13,2802.50,3550.13,4861.49,11214.12
2021-12-14,2803.34,3587.99,4849.41,11240.74
2021-12-15,2821.75,3592.03,4812.52,11226.30
2021-12-16,2818.36,3584.30,4874.97,11277.63
2021-12-17,2799.80,3599.27,4817.52,11216.59
2021-12-18,2798.56,3572.02,4846.80,11217.38
2021-12-19,2811.00,3597.32,4831.94,11240.26
2021-12-20,2815.99,3545.46,4873.27,11234.72
2021-12-21,2799.47,3574.08,4870.44,11243.99
2021-12-22,2840.06,3597.12,4893.48,11330.66
2021-12-23,2798.22,3566.48,4831.64,11196.34
2021-12-24,2795.44,3553.54,4857.49,11206.47
2021-12-25,2826.41,3564.03,4823.61,11214.05
2021-12-26,2808.61,3590.56,4859.69,11258.86
2021-12-27,2813.89,3583.90,4854.28,11252.07
2021-12-28,2806.94,3600.88,4900.72,11308.54
2021-12-29,2810.49,3581.73,4885.27,11277.49
2021-12-30,2814.18,3570.40,4847.79,11232.37
2021-12-31,2806.76,3575.79,4829.64,11212.19
2022-01-01,2981.94,3819.96,5157.40,11959.30
2022-01-02,2995.29,3757.74,5175.44,11928.47
2022-01-03,2974.44,3792.72,5153.70,11920.86
2022-01-04,2979.60,3791.87,5209.40,11980.87
2022-01-05,2981.98,3763.43,5119.91,11865.32
2022-01-06,2990.58,3770.28,5180.08,11940.94
2022-01-07,2962.09,3800.46,5145.12,11907.67
2022-01-08,2959.90,3787.70,5226.39,11973.99
2022-01-09,2980.17,3792.02,5128.49,11900.68
2022-01-10,2966.36,3814.78,5202.33,11983.47
2022-01-11,2976.68,3824.62,5146.02,11947.32
2022-01-12,2979.28,3783.08,5162.21,11924.57
2022-01-13,2970.53,3829.68,5163.79,11964.00
2022-01-14,2972.88,3780.79,5141.34,11895.01
2022-01-15,2968.35,3799.45,5118.66,11886.46
2022-01-16,2982.26,3793.51,5178.48,11954.25
2022-01-17,3005.23,3802.38,5133.53,11941.14
2022-01-18,2947.09,3795.89,5166.62,11909.60
2022-01-19,2984.24,3794.14,5158.37,11936.75
2022-01-20,2983.83,3805.22,5204.47,11993.52
2022-01-21,2969.40,3806.28,5131.81,11907.49
2022-01-22,2983.39,3796.17,5170.55,11950.11
2022-01-23,2982.06,3838.45,5198.98,12019.49
2022-01-24,2945.86,3782.49,5169.25,11897.60
2022-01-25,3003.49,3808.26,5152.78,11964.53
2022-01-26,2946.03,3790.41,5240.52,11976.96
2022-01-27,2975.08,3793.98,5128.38,11897.44
2022-01-28,2926.22,3787.22,5138.09,11851.53
2022-01-29,2942.66,3801.00,5166.10,11909.76
2022-01-30,2992.77,3786.39,5167.37,11946.53
2022-01-31,2983.53,3797.85,5164.24,11945.62
2022-02-01,2951.64,3792.58,5178.15,11922.37
2022-02-02,2971.85,3778.41,5138.06,11888.32
2022-02-03,3012.52,3786.65,5182.48,11981.65
2022-02-04,2974.76,3777.47,5165.11,11917.34
2022-02-05,3007.87,3791.92,5184.80,11984.59
2022-02-06,3000.40,3747.66,5135.42,11883.48
2022-02-07,2961.57,3792.24,5177.64,11931.45
2022-02-08,2956.20,3822.20,5168.59,11946.99
2022-02-09,2975.07,3795.67,5128.02,11898.76
2022-02-10,2970.16,3800.98,5211.47,11982.61
2022-02-11,3015.29,3761.21,5185.12,11961.62
2022-02-12,2994.21,3811.35,5143.65,11949.21
2022-02-13,2962.94,3810.32,5100.63,11873.89
2022-02-14,2986.43,3789.25,5158.08,11933.76
2022-02-15,2979.73,3798.76,5114.67,11893.16
2022-02-16,2982.16,3767.95,5173.37,11923.48
2022-02-17,2992.70,3797.31,5189.81,11979.82
2022-02-18,2948.86,3773.32,5193.39,11915.57
2022-02-19,2971.89,3795.12,5124.84,11891.85
2022-02-20,2927.92,3792.53,5080.79,11801.24
2022-02-21,2987.61,3792.90,5196.10,11976.61
2022-02-22,2984.31,3827.47,5215.90,12027.68
2022-02-23,2979.03,3839.90,5132.23,11951.16
2022-02-24,2983.31,3761.44,5140.05,11884.80
2022-02-25,2938.15,3799.26,5181.16,11918.57
2022-02-26,2966.56,3789.98,5115.12,11871.66
2022-02-27,2965.19,3787.29,5222.34,11974.82
2022-02-28,3019.64,3806.73,5108.72,11935.09
2022-03-01,2937.43,4335.30,5114.44,12387.17
2022-03-02,2986.18,4347.47,5134.80,12468.45
2022-03-03,2981.21,4350.18,5155.99,12487.38
2022-03-04,2973.18,4353.81,5150.50,12477.49
2022-03-05,2965.73,4367.33,5168.53,12501.59
2022-03-06,2978.87,4349.19,5146.39,12474.45
2022-03-07,2978.33,4361.65,5169.97,12509.95
2022-03-08,3011.28,4390.01,5173.81,12575.10
2022-03-09,2961.95,4348.59,5181.69,12492.23
2022-03-10,3045.75,4340.44,5229.26,12615.45
2022-03-11,2975.24,4362.34,5118.72,12456.30
2022-03-12,2929.74,4354.85,5120.91,12405.50
2022-03-13,2977.86,4345.58,5140.97,12464.41
2022-03-14,2959.26,4345.13,5091.89,12396.28
2022-03-15,2935.99,4332.26,5147.20,12415.45
2022-03-16,3013.20,4394.49,5088.86,12496.55
2022-03-17,2992.36,4372.80,5158.91,12524.07
2022-03-18,2982.66,4351.44,5125.68,12459.78
2022-03-19,2969.64,4367.35,5167.18,12504.17
2022-03-20,2992.09,4392.64,5166.83,12551.56
2022-03-21,2939.04,4351.37,5112.47,12402.88
2022-03-22,2993.77,4333.12,5211.28,12538.17
2022-03-23,2989.12,4377.68,5081.50,12448.30
2022-03-24,2968.87,4343.26,5194.00,12506.13
2022-03-25,2985.81,4362.91,5163.20,12511.92
2022-03-26,2980.50,4360.53,5162.47,12503.50
2022-03-27,2971.26,4344.71,5154.01,12469.98
2022-03-28,2971.04,4379.68,5196.51,12547.23
2022-03-29,2991.08,4332.07,5142.56,12465.71
2022-03-30,2995.51,4351.83,5137.11,12484.45
2022-03-31,2958.57,4379.77,5205.62,12543.96
2022-04-01,2993.51,4367.63,5094.53,12455.67
2022-04-02,2951.00,4359.97,5144.34,12455.31
2022-04-03,2991.00,4355.44,5103.26,12449.70
2022-04-04,2962.84,4372.02,5169.42,12504.28
2022-04-05,2978.70,4357.62,5179.79,12516.11
2022-04-06,2964.06,4360.97,5117.55,12442.58
2022-04-07,2980.02,4346.37,5238.88,12565.27
2022-04-08,2979.48,4360.59,5140.28,12480.35
2022-04-09,2940.49,4327.21,5192.38,12460.08
2022-04-10,2986.71,4359.49,5181.86,12528.06
2022-04-11,2985.99,4359.22,5157.01,12502.22
2022-04-12,2980.97,4381.05,5153.87,12515.89
2022-04-13,3014.19,4390.28,5169.73,12574.20
2022-04-14,2999.26,4357.28,5121.21,12477.75
2022-04-15,2973.12,4338.49,5136.43,12448.04
2022-04-16,2976.16,4349.43,5154.68,12480.27
2022-04-17,2981.30,4370.10,5177.22,12528.62
2022-04-18,2957.06,4350.46,5133.14,12440.66
2022-04-19,2995.90,4378.95,5173.10,12547.95
2022-04-20,3009.82,4333.14,5146.95,12489.91
2022-04-21,2991.68,4355.26,5129.46,12476.40
2022-04-22,2972.76,4373.45,5182.57,12528.78
2022-04-23,2967.30,4316.17,5166.71,12450.18
2022-04-24,3002.70,4348.07,5090.26,12441.03
2022-04-25,2992.13,4379.50,5188.82,12560.45
2022-04-26,2992.15,4354.16,5166.91,12513.22
2022-04-27,3005.19,4361.44,5092.66,12459.29
2022-04-28,2984.90,4370.41,5169.63,12524.94
2022-04-29,2981.44,4383.19,5183.16,12547.79
2022-04-30,2968.68,4340.24,5161.27,12470.19
2022-05-01,2991.20,4377.39,5185.99,12554.58
2022-05-02,2988.46,4358.14,5122.73,12469.33
2022-05-03,2988.94,4389.51,5133.33,12511.78
2022-05-04,2967.15,4374.09,5150.33,12491.57
2022-05-05,2955.64,4381.94,5114.67,12452.25
2022-05-06,2974.56,4369.44,5132.75,12476.75
2022-05-07,2978.86,4363.75,5140.15,12482.76
2022-05-08,2958.33,4350.29,5210.44,12519.06
2022-05-09,2976.23,4362.51,5138.87,12477.61
2022-05-10,3000.83,4347.59,5211.16,12559.58
2022-05-11,2936.09,4349.08,5135.73,12420.90
2022-05-12,2954.13,4393.27,5171.46,12518.86
2022-05-13,2981.86,4352.77,5186.78,12521.41
2022-05-14,2958.41,4372.80,5108.87,12440.08
2022-05-15,2980.12,4363.57,5179.13,12522.82
2022-05-16,3004.76,4330.97,5090.00,12425.73
2022-05-17,2994.51,4352.46,5198.82,12545.79
2022-05-18,2980.16,4395.17,5120.39,12495.72
2022-05-19,2995.39,4345.09,5149.96,12490.44
2022-05-20,2953.35,4373.13,5110.22,12436.70
2022-05-21,2958.47,4393.73,5142.33,12494.53
2022-05-22,2968.14,4368.12,5140.12,12476.38
2022-05-23,2988.95,4325.50,5144.21,12458.66
2022-05-24,2992.25,4382.06,5169.82,12544.13
2022-05-25,2959.47,4340.02,5082.61,12382.10
2022-05-26,2968.85,4378.34,5145.90,12493.09
2022-05-27,2992.93,4361.42,5115.94,12470.29
2022-05-28,3007.08,4352.95,5138.07,12498.10
2022-05-29,2982.89,4339.17,5119.59,12441.65
2022-05-30,3007.22,4359.49,5168.32,12535.03
2022-05-31,2981.14,4364.06,5138.66,12483.86
2022-06-01,2974.43,3794.56,5100.24,11869.23
